,conversation_id,conversation_text,argument_objects
0,23695,"Fiona Bruce[0:06:30] Tim? You have been listening and shaking your head a bit I noticed. Tim Stanley[0:06:34] Laughter. On the one hand, it's Number 10's fault because it won't answer that question of who initially paid for it. When it doesn't do that, that opens the possibility of speculation. Fiona Bruce[0:06:46] Why do you think they are not answering the question? At Number 10? Tim Stanley[0:06:50] Sorry? Fiona Bruce[0:06:54] Why are they not answering the question? Tim Stanley[0:06:56] Presumably because the answer is embarrassing that's the only reason why they don't give it. I don't know why they don't give it. Everyone has assumed that there's something underneath the iceberg. I'm not sure there, and it's worth bearing in mind that lots of politicians have charged the taxpayer to redecorate residences in this instance the Prime Minister has paid for it himself. It's also worth bearing in mind that the original blind trust idea he is reported to have come up with is how parts of the US presidency is financed at the White House, it's not internationally ununusual at all. The thing with Boris Johnson is people voted for him knowing he doesn't do things the normal way. He is an unusual character. But they wanted that! They wanted someone who cut through what they regarded as a stagnant, frozen political system to get things done. What Boris Johnson will be saying in the run-up to the all-important Hartlepool by-election is I got us out of the EU and I rolled out a world-leading vaccine programme.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""You have been listening and shaking your head a bit""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""Laughter""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""On the one hand, it's Number 10's fault because it""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""answer that question of who initially paid for it""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""that opens the possibility of speculation""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""Presumably because the answer is embarrassing""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""why they don't give it. I don't know""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""the original blind trust idea he is reported to have come up with is how parts of the US presidency is financed at the White House""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""not internationally ununusual at all""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""people voted for him knowing he doesn't do things the normal way""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""He is an unusual character""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 8, ""target_id"": 7, ""type"": ""support""}, {""source_id"": 10, ""target_id"": 9, ""type"": ""support""}]}"
1,19767,"Nadhim Zahawi [00:46:08] Both the vulnerable children and the children of frontline can go to school as we did in the first lockdown, youll recall. But, look, everybody here will, I think, understand this is a difficult situation. Every country -- someone talked about Israel earlier. Israel this week is debating another lockdown and the closure of schools. This is happening all around the world. Were having to cope with this virus. We have this new variant which, clearly, is spiking, not just in London and the southeast but actually in the Midlands, were seeing it in the rest of the country, which is why the lockdown has come in. My job is to make sure that the NHS plan for vaccinations is delivered so that by the middle of February, those first four categories, the most vulnerable four categories, by the way, if you get through the 9 categories, we have essentially dealt with 99 percent of deaths. Fiona Bruce [00:47:08] When do you think you will have done that by? [DONE] Nadhim Zahawi [00:47:12] You can pretty much do the maths. If by mid February Ive done the first four categories in terms of roughly 14 million people being offered the vaccine, the total 9 categories is about 26 million people. But well","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""Israel this week is debating another lockdown and the closure of schools""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""This is happening all around the world""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""in London and the southeast but actually in the Midlands""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""seeing it in the rest of the country""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""the lockdown has come in""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""My job is to make sure that the NHS plan for vaccinations is delivered""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""you get through the 9 categories, we have essentially dealt with 99 percent of deaths""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 5, ""type"": ""support""}]}"
2,18977,"Fiona Bruce[0:54:08] What will we keep? What would you keep if you are going to pick one thing? George Mpanga[0:54:14] I would keep the -- I would say upswing in general care and etiquette that we have now understanding that we're in a pandemic. Understanding that people have been endangered. I felt that person to person has been a bit more sensitivity and attentiveness in how we check on each other and protect each other, especially from some of the on-line behaviours that might affect our emotional and mental well-being. Fiona Bruce[0:54:44] Steve? Steve Barclay[0:54:44] I think we have a lot of good ones. For me, one Government it's the speed which we act across departments. If I look at the programme of getting food parcels to our most vulnerable as part of brought an am in of departments together. Or the way we have been able to support the homeless through this crisis, get people off the streets. We saw the Government acting in a very different way to perhaps the traditional model done by departments and I think there is a lot that comes from a pandemic where people come together with a common cause, act much more quickly. As Theo says in terms of being more data driven around where the technology is being used for the benefit of people. I think there is ways that Government can operate coming out of the pandemic where we can move much more quickly and be more data-driven.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""Understanding that people have been endangered""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""I felt that person to person has been a bit more sensitivity and attentiveness in how we check on each other and protect each other""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""especially from some of the on-line behaviours that might affect our emotional and mental""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""the programme of getting food parcels to our most vulnerable""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""the way we have been able to support the homeless through this crisis""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""We saw the Government acting in a very different way to perhaps the traditional model done by departments""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""there is a lot that comes from a pandemic""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""where people come together with a common cause, act much more quickly""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""As Theo says in terms of being more data driven around where the technology is being used for the benefit of people""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""there is ways that Government can operate coming out of the pandemic where we can move much more quickly and be""}], ""relations"": [{""source_id"": 6, ""target_id"": 5, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 9, ""target_id"": 7, ""type"": ""support""}, {""source_id"": 9, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 2, ""target_id"": 0, ""type"": ""support""}]}"
3,25424,"Robert Buckland [00:48:40] Yeah, well, we need to do better, as Ive said, and I think that, in the first week, that is encouraging, but I very much hope and I would expect, that as we all get more used to it, then the new normal will start to apply, and people will see the advantage in sharing that information, and doing the right thing, because cumulatively, as weve found with lockdown, we can use this system to continue the fight against the virus.Fiona Bruce [00:49:09] Ross?Male Aud 7[00:49:10] Hello, sorry. Do you reckon Rob, do you think theres a correlation between the confidence in how the governments dealt with this pandemic and connecting that with the third that doesnt give any of their details with the Track and Trace?Fiona Bruce [00:49:26] I love the fact that Ross is calling you Rob as well, were getting fantastically informal here.Robert Buckland [00:49:30] Thats alright Ross, thank you very much, a lot of people do. I think its a very important point. I talked about confidence, I think, a little earlier on.Fiona Bruce [00:49:39] But, do you think hes right?Robert Buckland [00:49:40] I think that weve got to ask ourselves the question, are people doing it because they dont want to cooperate, that they value, perhaps their own privacy orFiona Bruce [00:49:49] Or, loss of trust, thats what Ross is asking.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""in the first week, that is encouraging""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""I very much hope and I would expect, that as we all get more used to it, then the new normal will start to apply, and people will see the advantage in sharing that information""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""doing the right thing""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""cumulatively, as weve found with lockdown, we can use this system to continue the fight against""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""sorry. Do you reckon Rob, do you think theres a correlation between the confidence in how the governments dealt with this pandemic and connecting that with the third that doesnt give any of their details with the Track and""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""a very important point""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""that weve got to ask ourselves the question, are people doing it because they dont want to cooperate, that they value, perhaps their own privacy""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""loss of trust""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""what Ross is asking""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 2, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""attack""}, {""source_id"": 8, ""target_id"": 7, ""type"": ""support""}]}"
4,23576,"Part 38Fiona Bruce[00:37:25] The man there in the blue shirt. Audience Member 20211028QT29 [00:37:27] Andrew just mentioned they're investing billions and billions in the North East. That's just to cover up what he actually sold away. He allowed the UK Government to take that money out of Scotland and invest in the north of England. And in a typical Tory fashion Andrew Bowie[00:37:49] Sorry, he, what do you mean by he? Audience Member 20211028QT30 [00:37:49]he starts hitting us with all this thing about we've invested 132 billion, 125 billion, nobody can check all these figures. And the Tory ministers are good at this for everything they do. The first thing they bring in is their investment in this, their investment in that. He sold Scotland down the river by not allowing the North East project to go ahead. Fiona Bruce[00:38:14] When you say he, you're referring to? Audience Member 20211028QT31 [00:38:15] Andrew. Fiona Bruce[00:38:16] Oh, to Andrew himself personally, right. Audience Member 20211028QT32[00:38:18] So it's not far away from his constituency, they probably represent that area. Andrew Bowie[00:38:22] I don't represent St Fergus itself, but of course the Sub-Sea Technology and the industry, which is very much based in my constituency, obviously, has invested heavily in it. Hence my disappointment that [voices overlap 00:38:32].","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""just to cover up what he actually sold away""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""He allowed the UK Government to take that money out of Scotland and invest in the north of England""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""starts hitting us with all this thing about we've invested 132 billion, 125""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""nobody can check all these figures""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""the Tory ministers are good at this for everything they do""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""not far away from his constituency""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""they probably represent that area""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 2, ""type"": ""attack""}, {""source_id"": 6, ""target_id"": 5, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""support""}]}"
5,26068,"Seema Malhotra Ill make this final point. People in my constituency, myself, many others, across the United Kingdom have friends and family in Scotland. We remember how divisive the last referendum was. Then we saw the Brexit referendum with all the division that brought. I think people want a period of healing. They want the whole country to be working together. Thats certainly where Keir Starmer is focused. Because if he is prime minister, as I hope he will be, he wants to be prime minister of the whole of the United Kingdom. I think thats how well tackle these major issues like child poverty, like aspiration and like prosperity to make sure that reaches all parts of our nation. Mark Walport[00:54:44] My father, 100 in two weeks time, was born in Glasgow, my mother in London, my wifes family came from Aberdeen, Edinburgh, Manchester and the south of England. I was in a health service where people came from all over the world and the great science being done in the UK is international. I think my answer is obvious. Fiona Bruce[00:55:08] We have little time left. I want to get around a few if I can. Lucas.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""People in my constituency, myself, many others, across the United Kingdom have friends and family in Scotland""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""We remember how divisive the last referendum was""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""we saw the Brexit referendum with all the division that brought""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""I think people want a period of healing""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""certainly where Keir Starmer is focused""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""he wants to be prime minister of the whole of the United Kingdom""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""how well tackle these major issues like child poverty, like aspiration and like prosperity to make sure that reaches all parts of our nation""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""My father, 100 in two weeks time, was born in Glasgow""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""my mother in London""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""my wifes family came from Aberdeen, Edinburgh, Manchester and the south of England""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""I was in a health service where people came from all over the world""}, {""reason"": ""Asserting"", ""id"": 11, ""text"": ""the great science being done in the UK is international""}, {""reason"": ""Asserting"", ""id"": 12, ""text"": ""my answer is obvious""}], ""relations"": [{""source_id"": 3, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 12, ""target_id"": 7, ""type"": ""support""}, {""source_id"": 12, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 12, ""target_id"": 9, ""type"": ""support""}, {""source_id"": 12, ""target_id"": 10, ""type"": ""support""}, {""source_id"": 12, ""target_id"": 11, ""type"": ""support""}, {""source_id"": 12, ""target_id"": 6, ""type"": ""support""}]}"
6,23627,"Minette Batters[0:39:20] All these unskilled jobs. We will never have a machine that will make a bed in a hotel. Are you classing that as unskilled? Nadhim Zahawi[0:39:28] No. Minette Batters[0:39:30] Are you classing people who pick strawberries and broccoli as unskilled? How do you get more skilled than picking a strawberry. They are skilled jobs and they are important jobs. The care sector is important. Nadhim Zahawi[0:39:42] Can I answer something... Minette Batters[0:39:44] What are the unskilled jobs then? Nadhim Zahawi[0:39:50] If you go to Wheelmore. Fiona Bruce[0:39:54] Wheelmore are having a fantastic night on the programme. Other companies are available. If you want to answer Minette's question. Nadhim Zahawi[0:40:02] If you go there and you will see on fresh fruit and veg, which is to your point, right, they're putting new capital to work for more machinery that can do everything from videoing how the... Fiona Bruce[0:40:16] You told us. We heard that. Minette Batters[0:40:20] They are all doing it. Nadhim Zahawi[0:40:20] What does that mean? Higher skills and higher wages, Minette. The same is happening across all sectors of the economy. That's a good thing. Fiona Bruce[0:40:30] Okay. Nadhim Zahawi[0:40:32] To Nick's point, you have got to work with industry to take us on that journey and not to go straight to, you know, the cheap labour that we gorged on because of uncontrolled migration. Minette Batters[0:40:42] It wasn't cheap labour. You're paying seasonal workers 15 an hour at the moment. Nadhim Zahawi[0:40:48] At the moment. Fiona Bruce[0:40:50] I'm going to move on. Well done Wheelmore. You had a big shout-out on Question Time. This has been your night! Okay. That's enough about Wheelmore! Let's take a question from Ian.","{""argument_units"": [{""reason"": ""Assertive Questioning"", ""id"": 0, ""text"": ""How do you get more skilled than picking a strawberry""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""They are skilled jobs""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""you go to Wheelmore""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""Other companies are available""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""you will see on fresh fruit and veg""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""Higher skills and higher wages""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""The same is happening across all sectors of the economy""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""a good thing""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""you have got to work with industry to take us on that journey""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""not to go straight to, you know, the cheap labour that we gorged on because of uncontrolled migration""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""It wasn't cheap labour""}, {""reason"": ""Asserting"", ""id"": 11, ""text"": ""paying seasonal workers 15 an hour at the moment""}, {""reason"": ""Asserting"", ""id"": 12, ""text"": ""Well done Wheelmore""}, {""reason"": ""Asserting"", ""id"": 13, ""text"": ""You had a big shout-out on Question Time""}, {""reason"": ""Asserting"", ""id"": 14, ""text"": ""This has been your night""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 2, ""type"": ""attack""}, {""source_id"": 4, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 5, ""type"": ""support""}, {""source_id"": 9, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 10, ""target_id"": 9, ""type"": ""attack""}, {""source_id"": 11, ""target_id"": 10, ""type"": ""support""}, {""source_id"": 13, ""target_id"": 12, ""type"": ""support""}, {""source_id"": 14, ""target_id"": 13, ""type"": ""support""}, {""source_id"": 8, ""target_id"": 7, ""type"": ""support""}]}"
7,21569,"Fiona Bruce[0:02:34] We have been vaccinating care workers for six months now. Mark Harper[0:02:40] There are issues for some people. We have vaccinated a high percentage but there are still those who are hesitate talent. the strategy that is going to be most successful. But I do also understand why ministers are worried that you would have people in those settings. But also I think you can look at other strategies around testing. The other thing I raised in Parliament yesterday was the issue about people in domiciliary care. At the moment we talked about people in a care home but there are millions across the country who have someone coming into their own home and going to other people's homes. The government is going to consult on that. So I think this is very mixed and I have -- I'm in two minds about what the right answer is, actually.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""There are issues for some people""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""We have vaccinated a high percentage but there are still those who are hesitate talent""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""I do also understand why ministers are worried that you would have people in those settings""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""you can look at other strategies around testing""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""care. At the moment we talked about people in a care home but there are millions across the country who have someone coming into their own home and going to other people's homes""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""The government is going to consult on that""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""this is very mixed""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 1, ""type"": ""support""}]}"
8,17921,"Fiona Bruce[0:07:00] Do you think we could be doing that kind of thing here. Helle Thorning-Schmidt[0:07:03] Why not? We have empty museums, empty theatres, empty sports facilities. Why not use those facilities and give of a different kind of education? What I am seeing in Danish schools, yesterday I just saw a report, children were getting sailing education in the sea. So why not actually use this time to think differently about education and team up, but it can only be done by local authorities. It can't be dictated by the government. That's another reason why I think the government needs to have much more consultation with the four nations of this country, with local authorities, with cities to make sure this can happen in a smooth way and I would really advise to take the heat out of this because nothing good comes from this row that we have seen over the last week.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""We have empty museums, empty theatres, empty sports facilities""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""Why not use those facilities and give of a different kind of education""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""What I am seeing in Danish schools, yesterday I just saw a report, children were getting sailing education in the sea""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""it can only be done by local authorities""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""to make sure this can happen in a smooth way""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""I would really advise to take the heat out of this""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""nothing good comes from this row that we have seen over the last week""}], ""relations"": [{""source_id"": 2, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 5, ""type"": ""support""}]}"
9,19310,"Sarah Jones: Everyone is worrying about that. We worry about care homes, of course we do, because we know that, you know, there are logistical issues with this vaccine in terms of the temperature it needs to be. Are we going to make sure we can get to those care homes properly. Then I think theres a challenge with public health and making sure people know they can trust this vaccine and they should use it. Were not measles-free in this country any more. We were. Were not any more because people havent trusted the vaccine. So we need a really good public health message. But, you know, this is a really big challenge. The government havent got it right on things like test and trace. They have to get it right now because these are peoples lives on the line. We cant get this wrong again.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""We worry about care homes""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""we know that, you know, there are logistical issues with this vaccine in terms of the temperature it needs to be""}, {""reason"": ""Rhetorical Questioning"", ""id"": 2, ""text"": ""Are we going to make sure we can get to those care homes properly""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""a challenge with public health""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""any more. We were. Were not any more because people havent trusted the vaccine""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""we need a really good public health message""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""They have to get it right now""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""these are peoples lives on the line""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""support""}]}"
